,,,,Presale_update_Button,更新版本,更新版本,Updated,¡Actualizado,обновлен,Atualizou,Updated,갱신,更新,MàJ du,Aggiorna,تم تحديثها,yenilendi,Pembaruan,,
,,,,Presale_popup_title,二周年专属,二週年專屬,For second anniversary,Exclusivo 2 aniversario,Эксклюзив 2-ой годовщины,Exclusivo para o 2º Aniversário,Zum 2-jährigen Jubiläum,2주년 특정,二周年限定,Exclu du 2i anniversaire,2 anniversario esclusivo,الذكرى السنوية الثانية,2th yıldönümü için,Khusus Ulang Tahun ke-2,,
,,,,Presale_popup_subtitle,领取预订歌曲啦,領取預訂歌曲啦,Get the booking songs,Recibir canción reservada,Получите заказанную песню,Pegue a música que reservou,Jetzt dein bestelltes Lied holen,예약곡 수령하세요,予約した曲を受け取りましょう,Recevoir le morceau réservé,Prendi la canzone prenotata,تلقي الأغنية المحجوزة,Rezervasyon yapılan şarkı alın,Klaim lagu pesanan,,
,,,,Presale_share,我预定了《钢琴块2》两周年专属歌曲！8月15日你也可以拥有！,我預定了《鋼琴塊2》兩週年專屬歌曲！ 8月15日你也可以擁有！,"I booked exclusive songs of second anniversary of ""Piano Tiles 2"" ! You can also have on August 15!",¡He reservado la canción exclusiva para el 2º aniversario de Piano Tiles 2! ¡Tenla el 15 de agosto!,Я заказал песни по случаю 2-ой годовщины 《Плиток фортепиано 2》! 15 августа вы тоже сможете получить!,Reservei a música exclusiva para o 2º Aniversário do PianoTiles2! Também pode pegar uma em 15/08!,Ich habe ein exklusives Lied zum 2-jährigen Jubiläum gebucht! Am 15. August erhältst du es auch!,난 <피아노 타일 2> 2주년 특정곡을 예약했습니다! 8월 15일! 너도 가질 수 있습니다!,「ピアノタイル２」二周年限定アルバムを予約しました！８月１５日ぜひご購入お待ちしております。,J'ai réservé le titre exclu du 2e anniversaire de Piano Tiles 2! Vous l'aurez aussi le 15 août!,"Ho prenotato canzone esclusiva di 2 anniversario di PianoTiles2! Il 15 agosto, puoi averla anche tu!",حجزت الأغاني الخاصة للذكرى السنوية الثانية للعبة! ويمكنك الحصول عليها في اليوم ال15 من أغسطس!,Piano Tiles 2 İkinci Yıldönümü özel şarkıları rezervasyon yaptım. Ağustos 15'de alabilirsiniz!,Gue memesan lagu spesial buat ulang tahun ke-2 Piano Tiles 2!Lu juga bisa punya di tlg 15 Agustus!,,
,,,,Presale_card1,二周年专属活动,二週年專屬活動,2 years anniversary,El 2º Aniversario,Вторая годовщина,2º Aniversário,2-jähriges Jubiläum,2주년 특정,二周年限定,2e anniversaire,2º anniversario,ذكرى سنوية ثانية,İkinci Yıldönümü,Ulang Tahun Ke-2,,
,,,,Presale_card2,拼图赢福利,拼圖贏福利,Win bonus,Ganar beneficio,Получите выгоду,Pegar prêmios,Belohnungen gewinnen,퍼즐로 보상 얻기,ボーナスを勝ち取る,Gagner les bonus,Vinci benefici,كسب المكافأة,Ödüller kazan,Rebut bonus,,
,,,,Presale_card3,领取歌曲啦！,領取歌曲啦！,Get the song!,Get the song!,Get the song!,Get the song!,Get the song!,Get the song!,Get the song!,Get the song!,Get the song!,Get the song!,Get the song!,Get the song!,,
,,,,,已预定玩家连接网络，免费获取,已預定玩家連接網絡，免費獲取,Scheduled players join net and get free.,"Conceta el Internet, lógrala gratis","Игроки, заказавщие заранее, могут получить бесплатно, подключившись к интернету",Os jogadores que reservaram conectam-se à rede para ganhar de graça,Mit Internet-Anschluss holbar,예약된 유저는 인터넷 연결하여 무료 수령,すでに予約済みのお客様は無料でゲット,Mettez la connexion pour les gagner,"Accesso rete prenotato, l'ottieni gratis",كسبها مجانا في حال اتصال لاعبين محجوزين بالانترنت,Rezervasyon yaptığı oyuncular şimdi internete bağlan ve bedava alın,Pemain yg pesan join internet gain free,,
,,,,Presale_Startpage,你已领取预订的歌曲，开始游戏吧！,你已領取預訂的歌曲，開始遊戲吧！,You have already received booking songs. Start to play!,"Has recibido canción reservada, empieza a jugar!","Вы уже получили заказанную песню, начните игру!",Você já pegou a música reservado. Agora pode começar a jogar!,Du hast dein bestelltes Lied schon geholt. Jetzt spielen!,예약곡 수령 완료. 게임 시작합시다!,予約した曲を受け取りました。ゲームを始めましょう！,Vous l'avez reçu et commencez à jouer !,"Hai già preso la canzone prenotata, comincia a giocare!",تم تلقي الأغنية المحجوزة، فتبدأ باللعبة!,"Şarkı alınmıştı, şimdi oynamaya başlayalım!","Anda sudah klaim lagu pesanan,mulai permainan",,
,,,,,,,,,,,,,,,,,,,,
移除广告,,,,no_ad,移除广告,移除廣告,Remove ads,Eliminar publicidad,Убрать рекламу,Atirar os anúncios,Werbung entfernen,광고 제거,広告を除去する,Supprimer les pubs,Togli pubblicità,حذف الإعلانات,reklamları kaldırın,Hapuskan iklan,,
,,,,Privacy_policy,隐私政策,隱私政策,Privacy Policy,Política de privacidad,Политика конфиденциальности,Política de Privacidade,Datenschutz,개인정보보호 정책,プライバシーポリシー,Politique de confidentialité,Politica sulla riservatezza,سياسة الخصوصية,Gizlilik politikası,Kebijakan privasi,,
,,,,TOS_Privacy,TOS 隐私,TOS 隱私,TOS Privacy,TOS Privacy,TOS Политика,Privacidade de TOS,TOS Datenschutz,서비스 약관 및 프라이버시,TOSプライバシー,Confidentialité de TOS,TOS Privacy,شروط الخدمة الخصوصية,TOS Politiksı,TOS Privacy,,
,,,,Ad_Choice,广告选择,廣告選擇,AD Choices,AD Choices,Варианты рекламы,Escolha de Publ,Ad-Wahl,광고 선택,広告選択,Choix de pub,Ad Scelta,خيار الإعلان,Reklam Seçimi,Pilihan Ad,,
,,,,recover_buy,恢复购买,恢復購買,Recover the purchase,Sincroniza la compra,Вернуть покупки,Recuperar as compras,Käufe wiederherstellen,구매 복구,購入履歴を復元,Restaurer l'achat,Recupero d'acquisto,استعادة الشراء,Satın almanızı geri yükle,Pulihkan pembelian,,
,,,,recover_buy_success,成功恢复购买记录,成功恢復購買記錄,Recover purchase records Successfully,Compra sincronizada,Успешно восстановлены покупки,Recuperou com sucesso o conteúdo comprado,Käufe erfolgreich wiederhergestellt,구매내역 복구 완료되었습니다,購入履歴を復元しました,Achat restauré,Record d'acquisto recuperato con successo,تم استعادة تاريخ الشراء بنجاح,Başarılıyla geri yüklendi,Berhasil pulihkan catatan pembelian,,
,,,,recover_buy_no,无可恢复的购买记录,無可恢復的購買記錄,Irreversible purchase records,Ninguna compra por sincronizar,Невозможно восстановить покупки,Não há conteúdo comprado para ser recuperado,Kein wiederherzustellender Kauf vorhanden,복구할 수 있는 구매내역 없습니다,復元できる購入履歴がございません,Pas d'achat à restaurer,Non c'è record d'acquisto da recuperare,لا يوجد تاريخ الشراء للاستعادة,Geri yüklenecek satın alma kayıtları yok,Tidak ada catatan pembelian dipulihkan,,
,,,,Puzzle_try_song,未解锁的试玩歌曲,未解鎖的試玩歌曲,Preview of songs blocked,Canciones de prueba sin desbloquear,Пробная игра неоткрытых песен,Música de demonstração não liberada,Nicht freigeschaltete Demo,미언락된 미리해보기 음악,ロックされているDEMO曲,L'aperçu des morceaux bloqués,Canzone di prova da sbloccare,أغنية تجريبية غير مفتوحة,Kilitli deneyim şarkılar,Lagu percobaan yg belum kebuka,,
收集系统,,,首页引导tips,Puzzle_guide_tips1,更多盘面,更多盤面,More disks,Más discos,Больше дисков,Mais discos,Mehr Platten,더 많은 음반,チェック,Plus de disques,Più dischi,أقراص مضغوطة أكثر,Fazla panel,lebih banyak,,
,,,,Puzzle_guide_tips3,盘面解锁,盤面解鎖,Disk unlocked,Desbloquea discos,Открытие диска,Libere o disco,Platte freigeschaltet,음반 언락,アイコンをアンロック,Disque débloqué !,Disco sbloccato,فتح قرص مضغوط,Panel kilidi açın,Buka kunci halaman,,
,,,首页盘面更新引导tips,Puzzle_guide_tips2,哎呀~更新了新的盘面啦！,哎呀~更新了新的盤面啦！,The disk is updated again,Actualizado el disco,Диск обновлен,O disco foi atualizado,Platte aktualisiert,음반을 업데이트했습니다,アイコンが更新されました,MàJ de disque,Nuovo aggiornamento disco,تم تحديث القرص المضغوط ,Panel yenilenmişti,Gambar diperbarui lagi,,
,,,,Disc_unlock_success,解锁新盘面！,解鎖新盤面！,Unlock the new disk!,¡Desbloquea nueva plataforma!,Разблокируйте новый диск!,Desbloquear o novo disco!,Neue Platte freischalten!,새로운 음반 언락!,新アイコンをアンロック,Un nouveau disque débloqué !,Sblocca nuovo disco!,تم فتح قرص مضغوط جديد!,Yeni panel kilidi açılmıştı.,Buka kunci halaman baru,,
,,,,Disc_unlock_tips,再玩%1$d分可获取盘面,再玩%1$d分可獲取盤面,Play another more %1$d points to get the  disk,Juega %1$d puntos más para lograr disco,наберите еще %1$d баллов. получите дисков,Ganhe mais %1$d pontos para conseguir as disco,Spiel noch %1$d Punkte. um Platten zu kriegen!,%1$d점 더 연주하면 음반 얻을 수 있습니다,もう%1$d点をゲットしてCDアイコンを入手,Des disque au %1$d points une 2ième fois,Gioca di nuovo %1$d punti per ottenere il disco,لعب %1$d نقطة إضافية للحصول على للقرص المضغوط,Panel almak için daha %1$d puan almanız gerekir,Main %1$d lagi dapat penggalan,,
,二级页面,盘面名称,,Disc_author_name1,J.S. 巴赫,J.S. 巴赫,J.S. Bach,J.S. Bach,И. С. Бах,J.S. Bach,J.S. Bach,요한 세바스티안 바하,ヨハン・ゼバスティアン・バッハ,J.S. Bach,J.S. Bach,جي اس باخ,J.S. Bach,J.S. Bach,,
,,,,Disc_author_name2,肖邦,肖邦,Chopin,Chopin,Фредерик Шопен,Chopin,Chopin,쇼팽,ショパン,Chopin,Chopin,شوبان,Chopin,Chopin,,
,,,,Disc_author_name3,贝多芬,貝多芬,Beethoven,Beethoven,"Людвиг ван Бетховен
",Beethoven,Beethoven,베토벤,ベートーヴェン,Beethoven,Beethoven,بيتهوفن,Beethoven,Beethoven,,
,,,,Disc_author_name4,莫扎特,莫扎特,Mozart,Mozart,Вольфганг Амадей Моцарт,Mozart,Mozart,모차르트,モーツァルト,Mozart,Mozart,موزارت,Mozart,Mozart,,
,,,,Disc_content_name1,两周年定制,兩週年定制,2nd Annv customization,Personalizar 2 Aniversario,Эксклюзив второй годовщины,Só para 2º aniversário,Für 2-jähriges Jubiläum,2주년 커스텀,二周年特別,Edition de 2e anniversaire,Serie per 2° anniversario,تخصيص لذكرى سنوية ثانية,2 yıldönümü özel yapımı,2nd anniversary spesial,,
,,,,Disc_content_name2,原创定制,原創定制,Original customization,Personalizar originales,Авторский эксклюзив,Original e personalizado,Für Originalmusik,창작곡 커스텀,オリジナル限定,Edition originale,Serie originale,تخصيص للموسيقى الأصلية,Orijinal özel yapım ,Asli dan Spesial,,
,,,,Disc_content_name3,配器定制,配器定制,Orchestrate customization,Personalizar instrumentos,Эксклюзив оркестра,Banda personalizado,Für Band,오케스트라 커스텀,楽器演奏付き限定,Edition des bangs,Serie orchestrata,تخصيص للآلات الموسيقية,Enstrümental özel yapım,Instrumen Spesial,,
,,,,Disc_normal_name,普通盘面,普通盤面,Ordinary disk,Disco normal,Стандартный диск,Disco normal,Normale Platte,일반 음반,通常CDアイコン,Disque ordinaire,Disco normale ,قرص مضغوط عادي,Olağan panel,Gambar Biasa,,
,,,,Disc_author_name5,弗朗兹·李斯特,弗朗茲·李斯特,Franz Liszt,Franz Liszt,Ференц Лист,Franz Liszt,Franz Liszt,프란츠 리스트,フランツ・リスト,Franz Liszt,Franz Liszt,فرانز ليزت,Franz Liszt,Franz Liszt,,
,,,,Disc_author_name6,柴可夫斯基,柴可夫斯基,Tchaikovsky,Tchaikovsky,Чайковский,Tchaikovsky,Tchaikovsky,차이콥스키,チャイコフスキー,Tchaikovsky,Tchaikovsky,تشايكوفسكي,Tchaikovsky,Tchaikovsky,,
,,,,Disc_content_name4,波尔卡舞曲,波爾卡舞曲,Polka,Polca,Песня польки,polca,Polka,폴카 댄스곡,ポルカ舞曲,Polka,Danza Polka,رقصة البولكا,Polka dansı,Polka,,
,,,,Disc_author_name7,舒伯特,舒伯特,Schubert,Schubert,Шуберт,Schubert,Schubert,슈베르트,シューベルト,Schubert,Schubert,شوبرت,Schubert,Schubert,,
,,,,Disc_content_name5,万圣节,萬聖節,Halloween,Halloween,Хэллоуин,Dia das Bruxas,Allerheiligen,핼로윈,ハローウィン,Fête de la Toussaint,Halloween,الهالويين,Cadılar Bayramı,Halloween,,
,,,,Disc_name8,民谣,民謠,Folk Music,Copla,Народный фольклор,músicas folclóricas,Volksreime,민요,民謡,Ballades,Ballata,أغنية شعبية,Halk Müzikleri,Lagu Rakyat,,
,,,,Disc_name9,舒曼,舒曼,Robert Schumann,Robert Schumann,Роберт Шуман,Robert Schumann,Robert Schumann,로베르트 슈만,ロベルト・シューマン,Robert Schumann,Robert Schumann,روبرت سشمن,Robert Schumann,Robert Schumann,,
,,,,Disc_name16,圣诞节,聖誕節,Christmas,Navidad,Рождество,Dia de Natal,Weihnachten,크리스마스,クリスマス,Noël,Natale,عيد الميلاد,Noel,Hari Natal,,
,,,,,,,,,,,,,,,,,,,,
,,收集说明-无收集行为,,Puzzle_nocollection_title,拼图收集小贴士,拼圖收集小貼士,Play puzzles to collect tips,Notificaciones para juntar piezas,Подсказка искателя,Dicas para coletar quebra-cabeças,Tipps für Puzzlesammlung,퍼즐 수집 팁,パズル収集TIPS,Notice des puzzles,Tip per l'accolta di puzzle,تذكير لجمع الصور,Bulmaca toplama notları,Tips kumpulkan gambar,,
,,,,Puzzle_collectioning_subtitle2,集齐拼图获得完整盘面！,集齊拼圖獲得完整盤面！,Collect all puzzles to get the full disk!,Consigue el disco completo con todas las piezas,"Наберите пазлы, чтобы собрать диск!",Colete todas peças para obter o disco inteiro!,Mit allen Puzzles bekommt man die ganze Platte!,모든 퍼즐을 찾고 풀음반을 획득하기!,パズルを集めてCDアイコンをゲットしよう,Reconstituez les puzzles pour disque complet,Raccogli tutti puzzle per avere l'intero disco!,جمع الصور للحصول على القرص المغطوط الكامل!,Tüm panel elde etmek için bulmaca çözün,Kumpulkan puzzle dapatkan gambar utuh!,,
,,,,Puzzle_nocollection_subtitle1,无尽模式有几率掉落拼图,無盡模式有機率掉落拼圖,There are chances to drop puzzles in endless rush. ,Posibles piezas de puzzle en tecla sin fin,Пазлы потерялись в бесконечных,Pode pegar quebra-cabeças em teclas infinitas,Puzzle könnte in Endless Sprint verloren gehen,끝 없는 타일에 퍼즐 나올 수 있습니다,無限モードでパズルを集めましょう,Puzzles à gagner à tuiles à l'infini,Cadrebbe puzzle in modalità round senza fine,من المرجح أن تسقط بعض الصور في تايلز لا نهاية لها,Sonsuz tuşlarda bulmaca düşmesi şansı var,Berkesempatan jatuh puzzle di endless tiles,,
,,,,Puzzle_nocollection_subtitle2,完成任务领取拼图,完成任務領取拼圖,Complete the task to get the puzzle.,Completa el nivel y consigue piezas,"Выполните задание, получите пазл",Complete as tarefas para receber quebra-cabeças,Nach Erfüllung der Aufgabe erhält man Puzzle,미션을 완성하면 퍼즐을 얻을 수 있습니다,ミッションをクリアしてパズルをゲット,Finir la mission pour puzzles,Completa missione e prendi puzzle,تلقي الصور بعد إكمال المهمة,Görev bitirip bulmaca kazanın,Selesaikan misi dan dapatkan puzzle,,
,,收集说明-有收集行为，未集齐,人物盘面未收集齐（缺2块及以上拼图∪ 缺最后1块拼图且完成任务）,Puzzle_collectioning_title,加油！开始收集拼图之旅,加油！開始收集拼圖之旅,Come on! Start to collect puzzles,¡Vamos! A juntar las piezas,Начните приключение искателя,Colete agora quebra-cabeças!,Sammle Puzzle von jetzt an!,퍼즐을 수집합시다!,パズルを集めて、音楽の旅をしよう,Bon courage aux puzzles,Comincia a raccogliere puzzle,شد حيلك! لنبدأ برحلة جمع الصور,Sıra sizde! Toplamaya başlayın,Mulai perjalanan puzzle,,
,,,,Puzzle_authorname1_subtitle1,玩J.S.巴赫的歌曲,玩J.S.巴赫的歌曲,Play J.S. Bach's song,Toca la canción de J.S. Bach,Играйте песни И. С. Баха,Jogar música de J.S. Bach,Lied von J. S. Bach spielen,J.S. 바흐의노래를연주하여,J.S. バッハの曲をプレイしよう！,Jouer le morceau de J.S. Bach,Suona la canzone di J.S. Bach,لعب أغنية من جي اس باخ,J.S. Bach yazarın şarkısını oyna,Main lagu J.S. Bach,,
,,,,Puzzle_authorname2_subtitle1,玩肖邦的歌曲,玩肖邦的歌曲,Play Chopin's song,Toca la canción de Chopin,Играйте песни Шопена,Jogar música de Chopin,Lied von Chopins spielen,쇼팽의노래를연주하여,ショパンの曲をプレイしよう！,Jouer le morceau de Chopin,Suona la canzone di Chopin,لعب أغنية من شوبان,Chopin yazarın şarkısını oyna,Main lagu Chopin,,
,,,,Puzzle_authorname3_subtitle1,玩贝多芬的歌曲,玩貝多芬的歌曲,Play Beethoven's song,Toca la canción de Beethoven,Играйте песни Бетховена,Jogar música de Beethoven,Lied von Beethovens spielen,베토벤의노래를연주하여,ベートーヴェンの曲をプレイしよう！,Jouer le morceau de Beethoven,Suona la canzone di Beethoven,لعب أغنية من بيتهوفن,Beethoven yazarın şarkısını oyna,Main lagu Beethoven,,
,,,,Puzzle_authorname4_subtitle1,玩莫扎特的歌曲,玩莫扎特的歌曲,Play Mozart's song,Toca la canción de Mozart,Играйте песни Моцарта,Jogar música de Mozart,Lied von Mozarts spielen,모차르트의노래를연주하여,モーツァルトの曲をプレイしよう！,Jouer le morceau de Mozart,Suona la canzone di Mozart,لعب أغنية من موزارت,Mozart yazarın şarkısını oyna,Main lagu Mozart,,
,,,,Puzzle_authorname5_subtitle1,玩李斯特的歌曲,玩李斯特的歌曲,Play Franz Liszt's song,Toca la canción de Franz Liszt,Играйте песни Ференц Лист,Jogar música de Franz Liszt,Lied von Franz Liszt spielen,프란츠리스트의노래를연주하여,フランツ・リストの曲をプレイしよう！,Jouer le morceau de Franz Liszt,Suona la canzone di Franz Liszt,لعب أغنية من فرانز ليزت,Franz Liszt yazarın şarkısını oyna,Main lagu Franz Liszt,,
,,,,Puzzle_authorname6_subtitle1,玩柴可夫斯基的歌曲,玩柴可夫斯基的歌曲,Play Tchaikovsky's song,Toca la canción de Tchaikovsky,Играйте песни Чайковский,Jogar música de Tchaikovsky,Lied von Tchaikovsky spielen,차이콥스키의노래를연주하여,チャイコフスキーの曲をプレイしよう！,Jouer le morceau de Tchaikovsky,Suona la canzone di Tchaikovsky,لعب أغنية من تشايكوفسكي,Tchaikovsky yazarın şarkısını oyna,Main lagu Tchaikovsky,,
,,,,Puzzle_authorname7_subtitle1,玩舒伯特的歌曲,玩舒伯特的歌曲,Play Schubert's song,Toca la canción de Schubert,Играйте песни Шуберт,Jogar música de Schubert,Lied von Schubert spielen,슈베르트의노래를연주하여,シューベルトの曲をプレイしよう！,Jouer le morceau de Schubert,Suona la canzone di Schubert,لعب أغنية من شوبرت,Schubert yazarın şarkısını oyna,Main lagu Schubert,,
,,,,Puzzle_contentname4_subtitle1,玩波尔卡舞曲,玩波爾卡舞曲,Play Polka,Toca la Polca,Играйте песни польки,Jogar música Polca,Polka spielen,폴카 댄스곡 연주하기,ポルカ舞曲をプレイ,Jouer le Polkq,Suona la danza Polka,لعب أغاني رقصة البولكا,Polka Dans şarkısını oyna,Main lagu Polka,,
,,,,Puzzle_contentname1_subtitle1,玩两周年歌曲,玩兩週年歌曲,Play 2nd anniversary song,Toca la de 2º Aniversario,Играйте песни 2 годовщины,Jogar músicas do 2º aniversário,Lieder zum 2-jährigen Jubiläum spielen,2주년 음악 연주하기,二周年限定曲をプレイ,Jouer le morceau de 2e anniversaire,Suona canzoni di 2° anniversario,لعب أغاني لذكرى سنوية ثانية,2. Yıldönümü özel şarkıyı oyna,Main lagu Ulang Tahun Ke-2,,
,,,,Puzzle_contentname2_subtitle1,玩原创歌曲,玩原創歌曲,Play original songs,Toca las originales,Играйте авторские песни,Jogar músicas originais,Originallieder spielen,창작곡 연주하기,オリジナル限定曲をプレイ,Jouer les morceaux originaux,Suona canzoni originali,لعب أغاني أصلية,Orijinal şarkıyı oyna,Main lagu asli,,
,,,,Puzzle_contentname3_subtitle1,玩配器歌曲,玩配器歌曲,Play orchestrate songs,Toca las con instrumentos,Играйте песни оркестра,Jogar músicas com banda,Band-Lieder spielen,오케스트라 음악 연주하기,楽器演奏付き限定曲をプレイ,Jouer les morceaux de bangs,Suona canzoni orchestrate,لعب أغاني بالآلات الموسيقية,Müzik Aletli şarkıyı oyna,Main lagu instrumen,,
,,,,Puzzle_name8_subtitle1,玩民谣歌曲至%1$d分,玩民謠歌曲至%1$d分,Play ballad to %1$d points.,Juega copla a %1$d puntos,Играй фольклор до %1$d б,Jogue até %1$d pontos,Volksreime bis %1$d Punkte spielen,민요를 %1$d점까지 연주하세요,%1$d点まで民謡ソングを遊ぶ,Jouer les ballades au %1$d points,Suona ballata a %1$d punti,لعب أغنية شعبية إلى %1$d نقطة,Halk müziğinde %1$d puan alın,Main lagu sampai skor %1$d,,
,,,,Puzzle_name9_subtitle1,花费钻石购买,花費鑽石購買,Spend diamond to purchase.,Comprar con diamantes,Купить за алмазы,Comprar com diamantes,Mit Diamanten kaufen,다이아로 구매하기,タイヤを購入する,Acheter avec diamants,Acquista con diamanti,الشراء باستخدام الألماس,Elmas ile kilidi açın,Konsumsi diamond membeli,,
,,,,Puzzle_subtitle2,无尽冲刺获得拼图,無盡衝刺獲得拼圖,Get puzzles in Endless Tiles,Consigue piezas en teclasinfin,Получите пазл в бесконечных,Pega peças em teclas infinitas,Puzzle in Endless Sprint kriegen,끝없는 타일에서 퍼즐 획득하기,無限階段でパズルを獲得しよう,Puzzles à Tuiles à l'infini,Ottieni puzzle a Round Senza Fine,كسب الصور في تايلز لا نهاية لها,Sonsuz tuşlarda bulmaca alın,Dapat puzzle dari Endless tiles,,
,,,,Puzzle_subtitle2_name9,解锁整个盘面,解鎖整個盤面,Unlock the entire disk.,Desbloquea toda la plataforma,Разблокировать весь диск,Desbloquear o inteiro disco,Die ganze Platte freischalten,온 음반 언락하기,アイコンを全部アンロック,Débloquer le disque entier,Sblocca tutto il disco,فتح قرص مضغوط بشكل كامل,Tüm panel kilidi açın,Buka kunci seluruh halaman,,
,,,未收集齐（缺最后1块拼图且未完成任务）,Puzzle_collectioning_rest_title,加油，还剩1块拼图！,加油，還剩1塊拼圖！,1 last puzzle!,¡Te queda una pieza!,Остался последний пазл!,Ainda falta uma quebra-cabeça!,Das letzte Puzzle zu holen!,퍼즐 1개만 남았다!,パズルの完成まであと一枚！,Encore 1 puzzle,Un puzzle rimasto! ,جمع الصور للحصول على القرص المغطوط الكامل!,Yalnız bir bulmaca kalmıştı!,Tinggal 1 puzzle,,
,,,,Puzzle_authorcollection_subtitle2,完成任务,完成任務,Complete the task,Completa el nivel,Выполните задание,Complete a tarefa,Nach der Aufgabe,미션을완성하여,ミッションをクリアしたら,Finir la mission,Completa missione,كسب آخر صورة,Görevi bitirip,Selesaikan misi,,
,,,,Puzzle_authorcollection_subtitle3,获取最后1块拼图,獲取最後1塊拼圖,to get the last piece of the puzzle,y consigue la última pieza,получите последний пазл,para a última quebra-cabeça,erhält man das letzte Puzzle,마지막퍼즐을획득하기,１枚パズルを入手,pour le dernier puzzle,per avere l'ultimo puzzle,بعد إكمال المهمة,en son bir bulmaca alın,dapat puzzle terakhir,,
,,,,Puzzle_contentcollection_subtitle,通关两周年副本，获取最后1块拼图！,通關兩週年副本，獲取最後1塊拼圖！,"Pass the copy of the 2nd anniv. , Get the last piece puzzle!","Pasa todos niveles de evento 2 aniversario, gana la última pieza","Карта уровней в честь второй годовщины, получите последний пазл!",Passe as fases do 2º aniversário para pegar a última peça! ,Level zum 2. Jubiläum durchgespielt! Man bekommt letztes Puzzle ,"2주년 턴전 다 깨고, 마지막 퍼즐을 얻어라!",二周年限定ステージ、最後のパズルを手に入れましょう！,Instance de 2e anniv finie! Le dernier puzzle pour vous!,"Il ramo del 2° anniversario, ottieni l'ultimo puzzle!",الحصول على آخر صورة بعد إكمال فعالية فرعية لذكرى سنوية ثانية!,"İkinci yıldönümü sürüm kopyası, şimdi en son bir bulmaca alın!","Selesai tingkat ulang tahun ke-2,dapat puzzle terakhir",,
,,收集说明-有收集行为，集齐,人物盘面-巴赫,Puzzle_collection_title,真棒！成功获得一个新盘面,真棒！成功獲得一個新盤面,Wow! Get a new disk successfully!,¡Espectacular! Un nuevo disco ,Новый диск успешно собран,Conseguiu um novo disco!,Super! Eine neue Platte erlangt,훌륭해! 새로운 음반 얻었습니다!,素晴らしい！CDアイコンをゲット！,Bravo ! Nouveau disque,Ottimo! Ottieni un nuovo disco,مبروك! تم الحصول على قرص مضغوط جديد,Tebrikler! Yeni bir panel alınmıştı,Berhasil dapatkan gambar baru,,
,,,,Puzzle_collection_authorname1_subtitle1,J.S. 巴赫，巴洛克时期的德国作曲家\r他的音乐集成了巴洛克音乐风格的精华。,J.S. 巴赫，巴洛克時期的德國作曲家\r他的音樂集成了巴洛克音樂風格的精華。,"J.S. Bach, German composer in Baroque\rHis music represents the essentials of Baroque","J.S. Bach, compositor alemán periodo barroco. Su música es la cumbre de la música barroca","И. С. Бах, немецкий композитор\rЕго песни передают суть стиля барокко","J.S. Bach, compositor alemão do Barroco\rSuas obras contem a essência do estilo Barroco",J. S. Bach war deutscher Komponist des Barock\rIn seiner Musik repräsentiert das beste Barock,J.S. 바흐는 바로크 시대의 독일 작곡가이다\r그는 대위법 기술의 정수를 다한 사람이다,J.S. バッハ、バロック時代のドイツ著名作家。バロック時代の音楽の集大成を代表する人物,"J.S Bach, compositeur baroque allemand\rSa musique représente l'essentiel de baroque","J.S. Bach, compositore barocco tedesco.\rSua musica integra l'essenza di stile barocco",يوهان سباستيان باخ، مؤلف موسيقي ألماني في عصر الباروك\rأعماله الموسيقية تمتاز بروعة أسلوب الباروك,"J.S. Bach,Alman bestecisidir\rEserler Barok tarzı esansını içerir",J.S. Bach adalah pencipta lagu Jerman\rMusiknya memuat sari gaya Baroque,,
,,,,Puzzle_collection_authorname1_subtitle2,他的音乐集成了巴洛克音乐风格的精华。,他的音樂集成了巴洛克音樂風格的精華。,His music represents the essentials of Baroque,Su música es la cumbre de la música barroca,Его песни передают суть стиля барокко,Suas obras contem a essência do estilo Barroco,In seiner Musik repräsentiert das beste Barock,그는 대위법 기술의 정수를 다한 사람이다,バロック時代の音楽の集大成を代表する人物,Sa musique représente l'essentiel de baroque,Sua musica integra l'essenza di stile barocco,أعماله الموسيقية تمتاز بروعة أسلوب الباروك ,Eserler Barok tarzı esansını içerir,Musiknya memuat sari gaya Baroque,,
,,,,Puzzle_collection_authorname2_subtitle1,肖邦，19世纪浪漫主义音乐的代表人物\r他的音乐诗意又细腻，被誉为“钢琴诗人”。,肖邦，19世紀浪漫主義音樂的代表人物\r他的音樂詩意又細膩，被譽為“鋼琴詩人”。,"Chopin, master of romanticism in 19th century\rHis music is full of poetic sensations","Chopin, representante del Romanticismo XIX. ""Pianista Poeta"" por su refinamiento","Шопен, представитель романтизма 19 века. Его музыка полна нежных чувств поэзии.","Chopin, figura representativa da Era Romântica. Sua música é cheia de poesia e emoções ricas.",Chopin war Repräsentant der Romantik.\rSeine Werke sind poetisch und einfühlsam.,쇼팽은 19세기 유럽 낭만주의 음악의 대표자이다. 그의 음악에 시적인 맛이 아주 풍부하다,ショパン、19世紀ヨーロッパ浪漫主義代表作家，繊細な感情の表現が得意とする,"Chopin, géant de romanticisme au 19e siècle\rSa musique pleine de sensation sublime","Chopin, rappresentante della musica romantica\rLa sua musica è piena di emozioni poetiche",فريدريك شوبان، موسيقى رومانسي في القرن ال19 في أوروبا أعماله الموسيقية تمتاز بالشعور الخفيف، وهو يسمى بشاعر البيانو,"Chopin, romantizm temsilcilerinden birisidir\rŞiirsel ve hassas duygusu içindir","Chopin,wakil musisi musik romantis Eropa\rMusiknya penuh dengan rasa puisi",,
